request_id,enqueue_time,send_time,first_byte_time,end_time,prompt_tokens,resp_tokens,bytes_received,status,error
48fcc7f5-afa5-459f-847b-69362c1a885b,1758871616.0111465,1758871616.011226,,1758871616.0112352,104,,,,"'""model""'"
c53a71d5-d67c-4de1-afab-e101b51d4e57,1758871616.0726056,1758871616.0726905,,1758871616.0726995,43,,,,"'""model""'"
612befaa-eeb1-49e9-9abf-e4aa8b25a5ce,1758871616.075045,1758871616.075126,,1758871616.075135,116,,,,"'""model""'"
c7eab4cb-14dd-4be4-b6ba-23dd8d6b0994,1758871616.1004748,1758871616.1005554,,1758871616.100565,89,,,,"'""model""'"
ee58bd76-95c3-4bf2-b2c3-bb54415a7fba,1758871616.1109087,1758871616.1109898,,1758871616.110999,111,,,,"'""model""'"
33334f0f-1451-499a-93ae-9f2e4b97c0d6,1758871616.1333382,1758871616.1334195,,1758871616.133429,57,,,,"'""model""'"
878adf1f-c220-4903-9bd3-40a5f9aad875,1758871616.1607866,1758871616.1608667,,1758871616.1608763,96,,,,"'""model""'"
a06b201e-ff59-4f48-b13b-fbd594b35e71,1758871616.1732175,1758871616.1732981,,1758871616.1733077,86,,,,"'""model""'"
54692977-8f7b-4740-a2cb-5e6603567d3f,1758871616.1806433,1758871616.180727,,1758871616.1807365,26,,,,"'""model""'"
ac3bf2a8-bf00-42bf-9fd5-533a057385eb,1758871616.183092,1758871616.1831715,,1758871616.183181,90,,,,"'""model""'"
97d68abe-81ca-4ba2-bd95-65a78e5fa411,1758871616.1875231,1758871616.1876025,,1758871616.1876118,23,,,,"'""model""'"
f8ac81cb-878e-44ad-b8b6-40dd4e2df852,1758871616.1977448,1758871616.1978238,,1758871616.1978333,71,,,,"'""model""'"
236940c5-c516-4c75-9e76-22634ae73e41,1758871616.2251637,1758871616.225244,,1758871616.225253,14,,,,"'""model""'"
22f8b599-dd4f-4df5-9b7c-9ad138726005,1758871616.2296202,1758871616.2297006,,1758871616.22971,53,,,,"'""model""'"
d536b881-b1bc-4339-85d4-c870fdbadaa6,1758871616.2900364,1758871616.2901165,,1758871616.290126,53,,,,"'""model""'"
6ae626c7-73fb-4eb2-a07e-b6545f2916ac,1758871616.3234787,1758871616.3235586,,1758871616.3235676,25,,,,"'""model""'"
29c8d6f8-a977-4d3b-b555-7cb365cae0a4,1758871616.3269122,1758871616.3269947,,1758871616.327004,121,,,,"'""model""'"
ddb627d0-4572-4ca4-a828-418c9a8caa94,1758871616.3883731,1758871616.3884528,,1758871616.388462,68,,,,"'""model""'"
5912680d-3ad0-47df-9bd6-308b108e1c1c,1758871616.4077983,1758871616.407878,,1758871616.4078875,31,,,,"'""model""'"
6a2645e8-dbdc-4eaf-9a2e-1c195b6d2500,1758871616.414214,1758871616.4142928,,1758871616.414302,61,,,,"'""model""'"
60444f65-d418-4e50-806c-9deeb233beac,1758871616.4186342,1758871616.418714,,1758871616.4187233,20,,,,"'""model""'"
138eb660-adf1-410c-abe1-39a762e02ae1,1758871616.4330738,1758871616.433153,,1758871616.4331625,83,,,,"'""model""'"
ba84fc0b-b4c3-4092-be6b-889b1eaee509,1758871616.4524953,1758871616.4525747,,1758871616.4525838,28,,,,"'""model""'"
670e161b-7df0-451c-bf47-735b3984098c,1758871616.471924,1758871616.472005,,1758871616.4720144,86,,,,"'""model""'"
be5c191e-05eb-43dd-9b11-3cb12a64c907,1758871616.495351,1758871616.4954312,,1758871616.4954402,82,,,,"'""model""'"
24586f96-76b9-443f-be07-621a8459990f,1758871616.5007846,1758871616.5008645,,1758871616.500874,55,,,,"'""model""'"
bd250fa0-aa2b-4230-bd87-6b4d19128617,1758871616.5221875,1758871616.5222666,,1758871616.5222757,58,,,,"'""model""'"
82bebf7f-1f79-409e-bf79-4a6041190d8a,1758871616.5386245,1758871616.538704,,1758871616.5387127,109,,,,"'""model""'"
0298f209-59f5-4097-8415-9e481937ec72,1758871616.5670493,1758871616.567129,,1758871616.5671382,70,,,,"'""model""'"
90456a76-7ea6-4701-b85b-e056b6327c91,1758871616.5744545,1758871616.574534,,1758871616.5745437,66,,,,"'""model""'"
33a1c8fa-04d1-4ded-9381-14138f4e6b33,1758871616.5918934,1758871616.5919733,,1758871616.5919828,72,,,,"'""model""'"
e50726fb-cdc1-49ee-98cd-d649fc0e4cd9,1758871616.6022983,1758871616.6023788,,1758871616.6023881,33,,,,"'""model""'"
38e16d04-1d40-4ee7-9860-a0beb05ea270,1758871616.6087296,1758871616.6088095,,1758871616.608819,104,,,,"'""model""'"
877a8bc6-2658-4833-9bac-292ad5461329,1758871616.6090305,1758871616.6090908,,1758871616.6090984,73,,,,"'""model""'"
